STT,Sản Phẩm,Đỉnh Trend tại Mỹ (0-100),Độ hot hiện tại VN,Tăng trưởng tại VN (%),Điểm Dự Báo (0-100)
1,Nhẫn thông minh,100,11.2,170.9,100.0
4,Mặt nạ LED sinh học,100,6.0,146.0,100.0
6,Máy sấy tóc mini tốc độ cao,100,41.0,147.2,100.0
5,Quần áo lụa băng,100,8.3,100.0,88.3
8,Tai nghe OWS,100,14.7,100.0,87.1
3,Máy dọn phân mèo tự động,100,15.2,100.0,87.0
7,Sạc GaN dây rút,100,8.5,-1.0,37.8
9,Máy chiếu mini,100,69.1,-1.9,25.2
2,Quạt đeo cổ tản nhiệt,100,4.6,-79.6,0.0
10,Đệm tản nhiệt văn phòng,100,0.0,-100.0,0.0
