parent_asin,title,month_year,review_count,avg_rating,date
B001RMDSQ8,Seeka Turquoise Peace Dove Necklace - N0062OR,2024-11,1,4.0,2024-11-01
B001RMKWM6,Seeka Adorned Hamsa Necklace - N2412M,2017-08,1,5.0,2017-08-01
B009EU7Y74,"La Contessa Jewelry, Rabbit and Flower Earrings, Designed by Mary DeMarco - E8332",2017-01,1,5.0,2017-01-01
B00DVXVQIS,Gold Toe Ring One Size Fits All Most Adjustable,2020-02,1,5.0,2020-02-01
B00GDFQFMI,Vintage Botanical Flower Art Print: Lilac,2020-11,1,3.0,2020-11-01
B00N122N5O,I Work Hard So My Cats Can Have a Better Life Funny Sign with Orange and Grey Cats on Chairs with Bow Ties – Fun Sign Factory Original Pet Wall Decor,2018-11,1,5.0,2018-11-01
B00N125C0W,5 Deadly Terms Used by a Woman Funny Sign in Pink – Fun Sign Factory Original Funny Wall Decor,2019-11,1,5.0,2019-11-01
B00WKF9NSI,Customizable Nursery Door Sign Red Polka Dots with a Nurse Owl,2021-11,1,5.0,2021-11-01
B014OE4NDC,Paper Bead Multi Strand Elements Necklace - Earth - Fair Trade BeadforLife Jewelry from Africa,2019-03,1,5.0,2019-03-01
B014PYPCVS,Recycled Paper Bead Cluster Musana Earrings - Multicolored - Fair Trade BeadforLife Jewelry from Africa,2019-03,1,4.0,2019-03-01
B014PYPCVS,Recycled Paper Bead Cluster Musana Earrings - Multicolored - Fair Trade BeadforLife Jewelry from Africa,2019-12,1,5.0,2019-12-01
B014PYPCVS,Recycled Paper Bead Cluster Musana Earrings - Multicolored - Fair Trade BeadforLife Jewelry from Africa,2020-06,1,5.0,2020-06-01
B014PYPCVS,Recycled Paper Bead Cluster Musana Earrings - Multicolored - Fair Trade BeadforLife Jewelry from Africa,2021-02,1,5.0,2021-02-01
B0157CCJ7C,"Audrey Rocks Wall Decor - Unique Contemporary Art For Salon - Nail, Beauty & Hair Salon Decor",2018-12,1,5.0,2018-12-01
B0157CCJ7C,"Audrey Rocks Wall Decor - Unique Contemporary Art For Salon - Nail, Beauty & Hair Salon Decor",2020-07,1,5.0,2020-07-01
B0158HQLH0,Vintage Botanical/Horticultural seed packet fridge magnets - set of 8 - No.1,2022-10,1,5.0,2022-10-01
B015AHVAVK,"February Birthstone, Green Amethyst, Genuine Gemstone - Sterling Silver Necklace - 18"" Length, Adult Jewelry Item",2025-08,1,5.0,2025-08-01
B015AM9922,"Wedding cake topper.Love birds. i do, me too Handmade and perfect for rustic weddings",2022-01,1,5.0,2022-01-01
B015APSAG0,"Mom gift blue love you mom birds Three handmade clay birds for gift giving, ready to ship",2024-12,1,5.0,2024-12-01
B015B8W4BS,Single Strand or Double Strand Nose Chain choice of colors and styles,2023-07,1,4.0,2023-07-01
B015BKHAA6,"Closeout Sale: Silver Druzy Crystal Geode - Authentic, Genuine, Real Gemstone - Sterling Silver Circle Earrings, Adult Jewelry Item",2019-07,1,5.0,2019-07-01
B015BVGHZO,"Roll with It Sign, Kitchen Sign, Rustic Kitchen Decor, Home Decor/Wall Sign/Art/Wall Hanging, Baking Sign, Funny Sign, Bakers Sign",2020-02,1,5.0,2020-02-01
B015D64EGQ,Alice's Adventures In Wonderland Color Pages/Cheshire Puss/Mad As A Hatter/Queen of Hearts/White Rabbit/Dormouse,2019-03,1,5.0,2019-03-01
B015D87J84,Personalized Christmas Cookie Plate for Santa on Christmas Eve in White,2023-01,1,5.0,2023-01-01
B015E78Q54,"swing, porch swing, patio furniture, deck furniture, swing, 5ft swing, cabin furniture, rustic furniture, anniversary gift, wedding gift, porch swing, hanging swing",2023-06,1,5.0,2023-06-01
B015EF5I8E,Miniature Halloween Tombstones. Set of 2. Fairy Garden Accessories.,2021-10,1,5.0,2021-10-01
B015EMZULC,"Viking Rune Stone Wall Art, Fine Art Print Reproduction of Valhalla Funeral Prayer",2021-04,1,5.0,2021-04-01
B015EST3G4,"Fairy Garden Lanterns. Hanging Miniature Pink Lanterns. Set of 2. Dollhouse, Terrarium Décor.",2019-07,1,5.0,2019-07-01
B015EST3G4,"Fairy Garden Lanterns. Hanging Miniature Pink Lanterns. Set of 2. Dollhouse, Terrarium Décor.",2021-09,1,5.0,2021-09-01
B015EVSJZC,"Light Aqua Chalcedony, Genuine Gemstones - Sterling Silver Earrings, Adult Jewelry Item",2025-07,1,5.0,2025-07-01
B015EZOPQK,Personalized Authentic SB 16 oz Reusable Coffee Cup Grande Hot Cup with Custom Name and Lids/Sleeves.,2020-02,1,5.0,2020-02-01
B015EZOPQK,Personalized Authentic SB 16 oz Reusable Coffee Cup Grande Hot Cup with Custom Name and Lids/Sleeves.,2021-01,1,5.0,2021-01-01
B015EZOPQK,Personalized Authentic SB 16 oz Reusable Coffee Cup Grande Hot Cup with Custom Name and Lids/Sleeves.,2021-02,1,5.0,2021-02-01
B015EZOPQK,Personalized Authentic SB 16 oz Reusable Coffee Cup Grande Hot Cup with Custom Name and Lids/Sleeves.,2021-03,1,5.0,2021-03-01
B015EZOPQK,Personalized Authentic SB 16 oz Reusable Coffee Cup Grande Hot Cup with Custom Name and Lids/Sleeves.,2021-08,1,5.0,2021-08-01
B015EZOPQK,Personalized Authentic SB 16 oz Reusable Coffee Cup Grande Hot Cup with Custom Name and Lids/Sleeves.,2022-07,1,5.0,2022-07-01
B015EZOPQK,Personalized Authentic SB 16 oz Reusable Coffee Cup Grande Hot Cup with Custom Name and Lids/Sleeves.,2022-12,1,5.0,2022-12-01
B015EZOPQK,Personalized Authentic SB 16 oz Reusable Coffee Cup Grande Hot Cup with Custom Name and Lids/Sleeves.,2023-04,1,5.0,2023-04-01
B015EZYQX2,Necklace Scarf Ladder Yarn Adjustable Red Valentine Christmas,2021-11,1,5.0,2021-11-01
B015F14DK6,Candy Corn Halloween Earrings Sterling Silver,2019-10,1,5.0,2019-10-01
B015F14DK6,Candy Corn Halloween Earrings Sterling Silver,2022-01,1,3.0,2022-01-01
B015G32170,"Custom, personalized, monogrammed burlap garden flag with family name, house warming gift, wedding gift",2022-01,1,5.0,2022-01-01
B015G9YSG6,Double Partners in Crime Bracelet with Handcuff Charms,2023-01,1,5.0,2023-01-01
B015GA5TN6,Beaded 4 Ounce Aluminum Ice Scoop or Candy Scoop,2022-05,1,4.0,2022-05-01
B015GABG4W,Silver and Turquoise Feather Ring,2019-06,1,5.0,2019-06-01
B015GAKXT6,Pretty Smart Rainbow Heart Earrings on Plastic Posts Metal Free 10mm,2019-12,1,1.0,2019-12-01
B015GAKXT6,Pretty Smart Rainbow Heart Earrings on Plastic Posts Metal Free 10mm,2020-08,1,5.0,2020-08-01
B015GAKXT6,Pretty Smart Rainbow Heart Earrings on Plastic Posts Metal Free 10mm,2020-09,1,5.0,2020-09-01
B015GAKXT6,Pretty Smart Rainbow Heart Earrings on Plastic Posts Metal Free 10mm,2021-08,1,1.0,2021-08-01
B015GAKXT6,Pretty Smart Rainbow Heart Earrings on Plastic Posts Metal Free 10mm,2026-02,1,5.0,2026-02-01
B015GCPBSC,STUNNING Moon Dust Necklace -Wear A Real Piece Of The Moon! - Teardrop Shape,2019-01,1,4.0,2019-01-01
B015GE4RRG,Rock Crystal Quartz NECKLACE Pendant Silver Pltd POOLS Of LIGHT Metaphysical Good Luck,2019-03,1,5.0,2019-03-01
B015GFVDXG,Tiny Turquoise Stud Earrings,2023-08,1,5.0,2023-08-01
B015GHRUKY,On Marriage 8x10 Kahlil Gibran print - Heartful Art by Raphaella Vaisseau,2019-06,1,5.0,2019-06-01
B015GK9S4M,Custom Rune Ring - Sterling Silver - Viking Pagan Jewelry - Choose any Rune,2020-12,1,3.0,2020-12-01
B015GKMN3A,"Minneapolis Landmarks Skyline and Typography, Vintage Dictionary Art Print, Antique Wall Art Home Decor, Modern Boho Poster, Farmhouse Decoration Living Room Bedroom Office 8x10 Inches, Ready To Frame",2019-01,1,2.0,2019-01-01
B015GKOZWC,"New York Landmarks Skyline and Typography, Vintage Dictionary Art Print, Antique Wall Art Home Decor, Modern Boho Poster, Farmhouse Decoration Living Room Bedroom Office 8x10 Inches, Ready To Frame",2019-09,1,5.0,2019-09-01
B015GM77UW,"Chicago Skyline With Name Vertical, Vintage Dictionary Art Print, Antique Wall Art Home Decor, Modern Boho Poster, Farmhouse Decoration Living Room Bedroom Office 8x10 Inches, Ready To Frame",2021-05,1,5.0,2021-05-01
B015GMII78,"Cleveland Skyline With Bold Name, Vintage Dictionary Art Print, Antique Wall Art Home Decor, Modern Boho Poster, Farmhouse Decoration Living Room Bedroom Office 8x10 Inches, Ready To Frame",2022-06,1,4.0,2022-06-01
B015GNHE7C,"Kansas City Skyline With Bold Name, Vintage Dictionary Art Print, Antique Wall Art Home Decor, Modern Boho Poster, Farmhouse Decoration Living Room Bedroom Office 8x10 Inches, Ready To Frame",2019-09,1,1.0,2019-09-01
B015GOT1V8,"Mr and Mrs Sign for Wedding Sweetheart Table, Standing Mr and Mrs Letters, Large Thick Mr & Mrs Sign Set",2020-11,1,5.0,2020-11-01
B015GPE6DK,Personalized Goddaughter Jewelry Silver Expandable Charm Bracelet Gift for Goddaughter Gift Adjustable,2020-09,1,5.0,2020-09-01
B015GT60BM,Custom Name Necklace Friendship Gifts for Women Friends Costomizable Necklace Gold Silver Rosegold Personalize Name Coordinate Initial Gift Mothers Day Birthday Gift Inspirational Jewelry for Mom - 4N,2019-03,1,5.0,2019-03-01
B015GT60BM,Custom Name Necklace Friendship Gifts for Women Friends Costomizable Necklace Gold Silver Rosegold Personalize Name Coordinate Initial Gift Mothers Day Birthday Gift Inspirational Jewelry for Mom - 4N,2019-09,1,5.0,2019-09-01
B015GT60BM,Custom Name Necklace Friendship Gifts for Women Friends Costomizable Necklace Gold Silver Rosegold Personalize Name Coordinate Initial Gift Mothers Day Birthday Gift Inspirational Jewelry for Mom - 4N,2020-10,1,5.0,2020-10-01
B015GT60BM,Custom Name Necklace Friendship Gifts for Women Friends Costomizable Necklace Gold Silver Rosegold Personalize Name Coordinate Initial Gift Mothers Day Birthday Gift Inspirational Jewelry for Mom - 4N,2021-01,1,5.0,2021-01-01
B015GT60BM,Custom Name Necklace Friendship Gifts for Women Friends Costomizable Necklace Gold Silver Rosegold Personalize Name Coordinate Initial Gift Mothers Day Birthday Gift Inspirational Jewelry for Mom - 4N,2022-06,1,5.0,2022-06-01
B015GT60BM,Custom Name Necklace Friendship Gifts for Women Friends Costomizable Necklace Gold Silver Rosegold Personalize Name Coordinate Initial Gift Mothers Day Birthday Gift Inspirational Jewelry for Mom - 4N,2023-01,1,5.0,2023-01-01
