parent_asin,title,month_year,review_count,avg_rating,date
0321700945,Adobe Photoshop Lightroom 3 Learn By Video,2017-07,1,5.0,2017-07-01
0615179088,Human Japanese,2018-04,1,5.0,2018-04-01
061591067X,Human Japanese Intermediate,2018-05,1,1.0,2018-05-01
1426296355,Complete National Geographic: Every Issue Since 1888,2013-08,1,3.0,2013-08-01
1592970362,Personal Ancestral File 5.2 (Includes Personal Ancestral File Companion 5.1.5),2018-05,1,5.0,2018-05-01
1597627895,Drawing the Female Portrait: Construction and Abstraction Methods with Ron Lemen,2015-12,1,5.0,2015-12-01
1608293017,Rosetta Stone Homeschool Spanish (Latin America) Level 1-5 Set including Audio Companion,2019-08,1,4.0,2019-08-01
1608293017,Rosetta Stone Homeschool Spanish (Latin America) Level 1-5 Set including Audio Companion,2020-01,1,3.0,2020-01-01
1617160075,Learn German: Rosetta Stone German - Level 1-5 Set,2017-02,1,1.0,2017-02-01
1617160075,Learn German: Rosetta Stone German - Level 1-5 Set,2017-09,1,2.0,2017-09-01
1617160075,Learn German: Rosetta Stone German - Level 1-5 Set,2018-09,1,1.0,2018-09-01
1617160075,Learn German: Rosetta Stone German - Level 1-5 Set,2020-06,1,4.0,2020-06-01
1617160385,Learn Italian: Rosetta Stone Italian - Level 1-2 Set,2017-01,1,3.0,2017-01-01
1617160857,Learn Spanish: Rosetta Stone Spanish (Latin America) - Level 1-5 Set,2013-10,1,5.0,2013-10-01
1617160857,Learn Spanish: Rosetta Stone Spanish (Latin America) - Level 1-5 Set,2013-11,2,4.5,2013-11-01
1617160857,Learn Spanish: Rosetta Stone Spanish (Latin America) - Level 1-5 Set,2014-01,1,4.0,2014-01-01
1617160857,Learn Spanish: Rosetta Stone Spanish (Latin America) - Level 1-5 Set,2016-01,1,5.0,2016-01-01
1617160857,Learn Spanish: Rosetta Stone Spanish (Latin America) - Level 1-5 Set,2016-05,1,5.0,2016-05-01
1617160857,Learn Spanish: Rosetta Stone Spanish (Latin America) - Level 1-5 Set,2017-12,2,2.0,2017-12-01
1617160857,Learn Spanish: Rosetta Stone Spanish (Latin America) - Level 1-5 Set,2018-07,1,5.0,2018-07-01
1617160857,Learn Spanish: Rosetta Stone Spanish (Latin America) - Level 1-5 Set,2020-07,1,5.0,2020-07-01
1843265869,Encyclopaedia Britannica 2013,2018-12,1,3.0,2018-12-01
1843265869,Encyclopaedia Britannica 2013,2020-06,1,5.0,2020-06-01
1886715378,Award Quick,2021-02,1,5.0,2021-02-01
1936207052,"Triangulations 3.0 CD: Quarter Square in 1/8"" Increments, NEW Half Square in 1/16"" Increments, NEW Tamed Geese in 1/4"" Increments",2016-07,1,5.0,2016-07-01
3937514775,Ubuntu 8.10,2012-01,1,5.0,2012-01-01
B00001XDVZ,JumpStart Spanish,2012-09,1,1.0,2012-09-01
B00001XDWZ,JumpStart 1st Grade,2017-04,1,5.0,2017-04-01
B0000205XD,Macromedia Dreamweaver 2 for Windows,2018-02,1,5.0,2018-02-01
B000021YVV,Where in the USA is Carmen SanDiego?,2021-02,1,1.0,2021-02-01
B000028F4I,JumpStart Baby,2003-03,1,4.0,2003-03-01
B000028F4I,JumpStart Baby,2003-08,1,5.0,2003-08-01
B00002S5WD,"Art Explosion 150,000",2020-06,1,4.0,2020-06-01
B00002S6HG,Personal Record Keeper 5,2013-08,1,5.0,2013-08-01
B00002S9FQ,Rosetta Stone: Arabic Explorer,2005-07,1,2.0,2005-07-01
B00002S9PW,Fontographer 4.1,2007-11,1,1.0,2007-11-01
B00002SAD0,ClickArt Celebration and Holidays,2025-08,1,5.0,2025-08-01
B00002SANG,Where in the World Is Carmen Sandiego? Classic,2020-01,1,1.0,2020-01-01
B00004IA2Q,McAfee VirusScan 5.1 Deluxe,2012-05,1,1.0,2012-05-01
B00004OCHJ,Punch! Ultimate Deck and Landscape,2005-03,1,1.0,2005-03-01
B00004RC2P,Instant Immersion Spanish (4 CD-ROM),2007-01,1,1.0,2007-01-01
B00004S4XY,Primavera SureTrak Project Manager 3.0,2005-05,1,5.0,2005-05-01
B00004SC2M,"Photo-Objects 50,000 Premium Image Collection",2008-01,1,1.0,2008-01-01
B00004THOX,ProVenture Stationery,2016-06,1,4.0,2016-06-01
B00004W62O,Microsoft Windows Millennium Edition [Old Version],2004-11,1,3.0,2004-11-01
B00004ZAZM,The Wall Street Journal Online: One-Year Online Subscription,2011-07,1,2.0,2011-07-01
B000051XP5,Print Music 2002,2016-09,1,4.0,2016-09-01
B000059GC7,PhotoExpress My Scrapbook,2005-01,1,4.0,2005-01-01
B00005A9VI,Moneydance,2011-11,1,1.0,2011-11-01
B00005AFHZ,Microsoft Office XP Standard [OLD VERSION],2005-02,1,5.0,2005-02-01
B00005LBVS,The Learning Company - Oregon Trail 5th Edition,2019-10,1,5.0,2019-10-01
B00005LBVS,The Learning Company - Oregon Trail 5th Edition,2023-04,1,5.0,2023-04-01
B00005LBVS,The Learning Company - Oregon Trail 5th Edition,2024-02,1,5.0,2024-02-01
B00005LBVS,The Learning Company - Oregon Trail 5th Edition,2024-08,1,2.0,2024-08-01
B00005LBVU,Zoombinis Logical Journey - PC/Mac,2011-04,1,4.0,2011-04-01
B00005LBVU,Zoombinis Logical Journey - PC/Mac,2012-12,1,5.0,2012-12-01
B00005LBVU,Zoombinis Logical Journey - PC/Mac,2014-11,1,5.0,2014-11-01
B00005LBVU,Zoombinis Logical Journey - PC/Mac,2021-05,1,4.0,2021-05-01
B00005LJEL,Reader Rabbit Preschool Sparkle Star Rescue,2004-09,1,2.0,2004-09-01
B00005LVWI,Microsoft Money 2002 Deluxe [OLD VERSION],2017-12,1,5.0,2017-12-01
B00005MAFJ,McAfee VirusScan 6.0,2017-12,1,1.0,2017-12-01
B00005MOTF,Microsoft Windows XP Home Edition [Old Version],2006-11,1,2.0,2006-11-01
B00005NCJ3,Jasc Paint Shop Pro 7.0 [OLD VERSION],2005-02,1,5.0,2005-02-01
B00005NCJ3,Jasc Paint Shop Pro 7.0 [OLD VERSION],2017-01,1,5.0,2017-01-01
B00005NGP6,Microsoft Money 2002 Deluxe & Business,2005-02,1,5.0,2005-02-01
B00005NSUS,Carmen Sandiego's Great Chase Through Time (Jewel Case),2014-10,1,1.0,2014-10-01
B00005OA45,PartitionMagic 7.0 [OLD VERSION],2005-02,1,5.0,2005-02-01
B00005RZOQ,Instant Immersion American Sign Language,2025-01,1,1.0,2025-01-01
B00005TS6G,Microsoft Office XP Standard for Students and Teachers [Old Version],2005-02,1,5.0,2005-02-01
B00005V60M,BUSINESS DESIGNER 2.0,2005-06,1,5.0,2005-06-01
B00005V6FO,WEBGAIN STUDIO 4.5.2,2005-06,1,5.0,2005-06-01
B000060PCS,QuarkXpress 5.0,2005-07,1,5.0,2005-07-01
B0000639WR,3D Home Design Kit,2016-06,1,3.0,2016-06-01
B0000639WS,3D Home Design Suite Deluxe 4.0,2005-09,1,4.0,2005-09-01
B000063CEU,VISUALCAFE EXP 4.5.2 SUITE W/,2005-06,1,5.0,2005-06-01
B000069IF9,Quicken 2003 Basic,2018-05,1,5.0,2018-05-01
B000069IL6,Microsoft Works 7.0 [Old Version],2018-02,1,1.0,2018-02-01
B00006BN8H,Blue's Clues Preschool,2017-08,1,5.0,2017-08-01
B00006CFAY,Microsoft Publisher Deluxe 2002 [Old Version],2006-10,1,4.0,2006-10-01
B00006CFAY,Microsoft Publisher Deluxe 2002 [Old Version],2019-03,1,5.0,2019-03-01
B00006IZC8,Microsoft Streets & Trips 2003 [Old Version],2006-06,1,4.0,2006-06-01
B00006JO4G,Punch! Super Home [Old Version],2009-08,1,1.0,2009-08-01
B00006JT8L,Suse Linux 8.1 Professional Edition,2005-12,1,5.0,2005-12-01
B00006LHO4,Flipalbum Suite 5,2014-02,1,3.0,2014-02-01
B000078COJ,31 Languages of the World,2024-07,1,5.0,2024-07-01
B00007KH0I,Ulead DVD PictureShow 2,2006-04,1,5.0,2006-04-01
B00007M9T1,Clifford The Big Red Dog Thinking Adventures - PC/Mac,2014-11,1,4.0,2014-11-01
B0000899LZ,Talk Now! Learn Bengali - Beginning Level [Old Version],2012-07,1,5.0,2012-07-01
B00008ZPGR,Paint Shop Photo Album 4,2006-07,1,5.0,2006-07-01
B0000AZJV8,Microsoft FrontPage 2003 - Old Version,2018-06,1,2.0,2018-06-01
B0000C0XT1,Microsoft Office Student and Teacher Edition 2003 (OLD VERSION),2008-10,1,5.0,2008-10-01
B0000C66VY,Ipswitch WS_FTP Pro V8 Single User,2007-03,1,5.0,2007-03-01
B0000CG09P,31 Languages of the World,2024-06,1,5.0,2024-06-01
B0000DBK0F,Defensive Driving Course,2008-09,1,1.0,2008-09-01
